"","plot_id","ts_index","break_dates","magnitude"
"97","p67308_4",154,2000-05-26,"0.186792619931651"
"98","p67308_4",178,2001-05-28,"0.141543778303512"
"99","p67308_4",207,2003-05-19,"0.0692895360518314"
"100","p67604_2",175,2013-02-23,"-0.098479722697526"
"101","p67878_3",19,1993-12-09,"-0.252359311044643"
"102","p67878_3",34,1994-10-16,"-0.170323207374139"
"103","p67878_3",91,1998-02-22,"-0.413803402837956"
"104","p67878_3",106,1998-11-05,"-0.184246489949523"
"105","p67878_3",121,1999-06-08,"0.25867916229852"
"106","p67878_3",149,2000-05-26,"0.391577530820371"
"107","p67878_3",170,2001-05-21,"0.216390507061305"
"108","p67879_1",18,1993-08-26,"0.115269505353098"
"109","p67879_1",39,1994-07-12,"0.23007162594638"
"110","p67879_1",57,1995-06-06,"0.158341971286745"
"111","p67879_1",78,1996-05-30,"0.183293975251487"
"112","p67879_1",106,1998-01-28,"-0.214699881502256"
"113","p67879_1",122,1998-08-01,"0.220022817984955"
"114","p67879_1",141,1999-06-08,"0.263446472775712"
"115","p67879_1",171,2000-05-26,"0.21483951755539"
"116","p67879_1",199,2001-06-13,"0.132902025598028"
"117","p67879_1",229,2003-05-19,"0.104654911104646"
"118","p67879_1",280,2008-06-17,"0.153434871392633"
"119","p67879_1",298,2009-06-04,"0.173259894407067"
"120","p67879_1",329,2011-05-24,"0.232239608744564"
"121","p67879_2",15,1993-06-07,"0.148409668424614"
"122","p67879_2",103,1998-01-21,"-0.277168559862018"
"123","p67879_2",118,1998-07-07,"0.279971702812091"
"124","p67879_2",135,1999-06-08,"0.24526579342492"
"125","p67879_2",164,2000-05-26,"0.229225385654814"
"126","p67879_2",194,2001-06-13,"0.19608035310759"
"127","p67879_2",223,2003-05-19,"0.14078736738125"
"128","p67879_2",247,2006-03-15,"0.161349730416362"
"129","p67879_2",263,2007-05-30,"0.241047392099674"
"130","p67879_2",292,2009-10-26,"0.102871192538373"
"131","p67879_2",323,2011-05-24,"0.154697953289073"
"132","p67879_2",408,2019-02-15,"-0.108830797928978"
"133","p67879_3",16,1993-06-07,"0.210944795467327"
"134","p67879_3",40,1994-07-28,"0.205157385085158"
"135","p67879_3",57,1995-06-06,"0.16722898289305"
"136","p67879_3",79,1996-05-30,"0.231979001867927"
"137","p67879_3",120,1998-06-30,"0.297185214444738"
"138","p67879_3",140,1999-06-08,"0.234803395079695"
"139","p67879_3",169,2000-05-26,"0.144060416006345"
"140","p67879_3",224,2003-05-19,"0.157642192099427"
"141","p67879_3",246,2006-04-16,"0.12164979037739"
"142","p67879_3",290,2009-06-04,"0.174067434142287"
"143","p67879_3",320,2011-05-24,"0.341019944606785"
"144","p67879_3",339,2013-04-19,"0.148392369633482"
"145","p67879_3",387,2017-12-10,"-0.131438230746793"
"146","p67879_3",402,2019-01-23,"-0.203215962334241"
