landsat,row_path,date,longitude,latitude,time,NDVI,tps_coords,tp,CI1
LT05,024048,1993-01-07,-96.0746848892902,17.228654086835686,726422975615,0.7412257726558408,"17.2286540868357, -96.0746848892902",tp_62,4.850801479654748
LT05,024048,1993-02-08,-96.0746848892902,17.228654086835686,729187797122,0.6150907354345749,"17.2286540868357, -96.0746848892902",tp_62,3.272184300341297
LT05,024048,1993-02-24,-96.0746848892902,17.228654086835686,730570200287,0.6201651455888744,"17.2286540868357, -96.0746848892902",tp_62,3.11417004048583
LT05,024048,1993-03-12,-96.0746848892902,17.228654086835686,731952613144,0.7298757428417072,"17.2286540868357, -96.0746848892902",tp_62,5.331989247311828
LT05,024048,1993-03-28,-96.0746848892902,17.228654086835686,733335014327,0.6812362030905077,"17.2286540868357, -96.0746848892902",tp_62,4.042857142857143
LT05,024048,1993-04-13,-96.0746848892902,17.228654086835686,734717422113,0.7375630857966835,"17.2286540868357, -96.0746848892902",tp_62,4.459903381642512
LT05,024048,1993-04-29,-96.0746848892902,17.228654086835686,736099828859,0.7952808241940844,"17.2286540868357, -96.0746848892902",tp_62,5.115594329334788
LT05,024048,1993-05-15,-96.0746848892902,17.228654086835686,737482231618,0.8031746031746032,"17.2286540868357, -96.0746848892902",tp_62,5.422169811320755
LT05,024048,1993-05-31,-96.0746848892902,17.228654086835686,738864635287,0.8423803779654202,"17.2286540868357, -96.0746848892902",tp_62,6.198550724637681
LT05,024048,1993-07-18,-96.0746848892902,17.228654086835686,743011827108,0.6118260869565217,"17.2286540868357, -96.0746848892902",tp_62,2.83253873659118
LT05,024048,1993-09-04,-96.0746848892902,17.228654086835686,747159024207,0.7836668469442942,"17.2286540868357, -96.0746848892902",tp_62,5.023931623931624
LT05,024048,1993-12-09,-96.0746848892902,17.228654086835686,755453393615,0.8208409506398537,"17.2286540868357, -96.0746848892902",tp_62,5.789189189189189
LT05,024048,1994-01-10,-96.0746848892902,17.228654086835686,758218170407,0.7688487584650113,"17.2286540868357, -96.0746848892902",tp_62,5.462239583333333
LT05,024048,1994-01-26,-96.0746848892902,17.228654086835686,759600558010,0.8100558659217877,"17.2286540868357, -96.0746848892902",tp_62,6.642857142857143
LT05,024048,1994-03-15,-96.0746848892902,17.228654086835686,763747719495,0.7961555654894948,"17.2286540868357, -96.0746848892902",tp_62,6.15251572327044
LT05,024048,1994-05-02,-96.0746848892902,17.228654086835686,767894867932,0.842810575878305,"17.2286540868357, -96.0746848892902",tp_62,5.959239130434782
LT05,024048,1994-06-03,-96.0746848892902,17.228654086835686,770659632986,0.8395061728395061,"17.2286540868357, -96.0746848892902",tp_62,6.308345120226308
LT05,024048,1994-09-23,-96.0746848892902,17.228654086835686,780336261684,0.7821686746987951,"17.2286540868357, -96.0746848892902",tp_62,4.699460916442049
LT05,024048,1994-10-25,-96.0746848892902,17.228654086835686,783101001703,0.8471960858110651,"17.2286540868357, -96.0746848892902",tp_62,7.297906602254429
LT05,024048,1994-11-26,-96.0746848892902,17.228654086835686,785865735465,0.8565292096219931,"17.2286540868357, -96.0746848892902",tp_62,8.294230769230769
LT05,024048,1994-12-12,-96.0746848892902,17.228654086835686,787248106629,0.8055813953488372,"17.2286540868357, -96.0746848892902",tp_62,6.004566210045662
LT05,024048,1994-12-28,-96.0746848892902,17.228654086835686,788630474967,0.821724305893814,"17.2286540868357, -96.0746848892902",tp_62,7.538167938931298
