landsat,row_path,date,longitude,latitude,time,NDVI,tps_coords,tp,CI1
LT05,024048,1993-01-07,-96.06956449217073,17.228654086835686,726422975615,0.7286559594251902,"17.2286540868357, -96.0695644921707",tp_63,4.641935483870967
LT05,024048,1993-02-08,-96.06956449217073,17.228654086835686,729187797122,0.6183868169991327,"17.2286540868357, -96.0695644921707",tp_63,3.1128903122498
LT05,024048,1993-02-24,-96.06956449217073,17.228654086835686,730570200287,0.6408640864086409,"17.2286540868357, -96.0695644921707",tp_63,3.3202443280977314
LT05,024048,1993-03-12,-96.06956449217073,17.228654086835686,731952613144,0.7110196616369456,"17.2286540868357, -96.0695644921707",tp_63,4.573863636363637
LT05,024048,1993-03-28,-96.06956449217073,17.228654086835686,733335014327,0.6709323583180987,"17.2286540868357, -96.0695644921707",tp_63,4.180293501048218
LT05,024048,1993-04-13,-96.06956449217073,17.228654086835686,734717422113,0.7375630857966835,"17.2286540868357, -96.0695644921707",tp_63,4.3544303797468356
LT05,024048,1993-04-29,-96.06956449217073,17.228654086835686,736099828859,0.7898375388869685,"17.2286540868357, -96.0695644921707",tp_63,5.1390937829293994
LT05,024048,1993-05-15,-96.06956449217073,17.228654086835686,737482231618,0.8063604240282686,"17.2286540868357, -96.0695644921707",tp_63,5.434782608695652
LT05,024048,1993-05-31,-96.06956449217073,17.228654086835686,738864635287,0.8281068524970964,"17.2286540868357, -96.0695644921707",tp_63,6.089041095890411
LT05,024048,1993-07-18,-96.06956449217073,17.228654086835686,743011827108,0.6153091265947007,"17.2286540868357, -96.0695644921707",tp_63,2.9289127837514934
LT05,024048,1993-12-09,-96.06956449217073,17.228654086835686,755453393615,0.7555465913674869,"17.2286540868357, -96.0695644921707",tp_63,4.996499416569428
LT05,024048,1994-01-10,-96.06956449217073,17.228654086835686,758218170407,0.7767936226749336,"17.2286540868357, -96.0695644921707",tp_63,5.5
LT05,024048,1994-01-26,-96.06956449217073,17.228654086835686,759600558010,0.7925989672977625,"17.2286540868357, -96.0695644921707",tp_63,5.788409703504043
LT05,024048,1994-03-15,-96.06956449217073,17.228654086835686,763747719495,0.7730684326710817,"17.2286540868357, -96.0695644921707",tp_63,5.400523560209424
LT05,024048,1994-05-02,-96.06956449217073,17.228654086835686,767894867932,0.8157543391188251,"17.2286540868357, -96.0695644921707",tp_63,6.25
LT05,024048,1994-06-03,-96.06956449217073,17.228654086835686,770659632986,0.7774555998550199,"17.2286540868357, -96.0695644921707",tp_63,5.540119760479042
LT05,024048,1994-10-25,-96.06956449217073,17.228654086835686,783101001703,0.8374183006535948,"17.2286540868357, -96.0695644921707",tp_63,7.1750788643533125
LT05,024048,1994-11-26,-96.06956449217073,17.228654086835686,785865735465,0.829733163913596,"17.2286540868357, -96.0695644921707",tp_63,7.570934256055363
LT05,024048,1994-12-28,-96.06956449217073,17.228654086835686,788630474967,0.7850834151128557,"17.2286540868357, -96.0695644921707",tp_63,6.20957095709571
LT05,024048,1995-01-13,-96.06956449217073,17.228654086835686,790012840990,0.7621867881548975,"17.2286540868357, -96.0695644921707",tp_63,5.304123711340206
LT05,024048,1995-01-29,-96.06956449217073,17.228654086835686,791395204523,0.7193621867881549,"17.2286540868357, -96.0695644921707",tp_63,4.1319520174482
LT05,024048,1995-02-14,-96.06956449217073,17.228654086835686,792777565003,0.7338034376377258,"17.2286540868357, -96.0695644921707",tp_63,4.97457627118644
LT05,024048,1995-04-03,-96.06956449217073,17.228654086835686,796924648731,0.7410915651781687,"17.2286540868357, -96.0695644921707",tp_63,5.193384223918575
LT05,024048,1995-04-19,-96.06956449217073,17.228654086835686,798307007978,0.7607573149741824,"17.2286540868357, -96.0695644921707",tp_63,4.910866910866911
LT05,024048,1995-05-05,-96.06956449217073,17.228654086835686,799689365626,0.7905166312809625,"17.2286540868357, -96.0695644921707",tp_63,5.472813238770685
LT05,024048,1995-06-06,-96.06956449217073,17.228654086835686,802454076830,0.8238851095993953,"17.2286540868357, -96.0695644921707",tp_63,5.191365227537923
LT05,024048,1995-08-25,-96.06956449217073,17.228654086835686,809365859319,0.752019669827889,"17.2286540868357, -96.0695644921707",tp_63,4.454466608846487
LT05,024048,1995-10-12,-96.06956449217073,17.228654086835686,813512914197,0.6943101524730383,"17.2286540868357, -96.0695644921707",tp_63,3.9263698630136985
LT05,024048,1995-12-15,-96.06956449217073,17.228654086835686,819042547748,0.8021321961620469,"17.2286540868357, -96.0695644921707",tp_63,7.350086655112651
LT05,024048,1995-12-31,-96.06956449217073,17.228654086835686,820425018102,0.665658747300216,"17.2286540868357, -96.0695644921707",tp_63,2.973408541498791
LT05,024048,1996-01-16,-96.06956449217073,17.228654086835686,821807485657,0.7497781721384206,"17.2286540868357, -96.0695644921707",tp_63,5.375812743823147
LT05,024048,1996-04-05,-96.06956449217073,17.228654086835686,828719805870,0.7566506759703445,"17.2286540868357, -96.0695644921707",tp_63,5.106699751861042
LT05,024048,1996-05-23,-96.06956449217073,17.228654086835686,832867176544,0.8165016501650165,"17.2286540868357, -96.0695644921707",tp_63,5.619702176403207
LT05,024048,1996-10-30,-96.06956449217073,17.228654086835686,846691686748,0.8130990415335463,"17.2286540868357, -96.0695644921707",tp_63,6.347578347578348
LT05,024048,1996-11-15,-96.06956449217073,17.228654086835686,848074131616,0.8211256746337703,"17.2286540868357, -96.0695644921707",tp_63,7.146875
LT05,024048,1996-12-17,-96.06956449217073,17.228654086835686,850839022584,0.7948073701842546,"17.2286540868357, -96.0695644921707",tp_63,6.022757697456493
