plot_id,lat,lon,landsat,row_path,date,sat_time,ndvinc,ndvi,ci1,ci2,evi,ndwi,b1,b2,b3,b4,b5,b6,b7
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-01-07,726422975615,0.6693017127799736,0.6693017127799736,3.612765957446809,494.5,2.005527043031978,0.3287886733088621,201,253,251,1267,640,2883,355
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-01-23,727805386371,NA,0.04811399832355406,0.5323718050990778,7778,-0.01308363497114306,0.09033833275200558,20000,5661,5678,6252,5216,2740,3861
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-02-08,729187797122,NA,0.1435741172253092,1.2477646380155754,2508.5,1.8714953271028036,0.07752068907279176,2194,2351,2389,3190,2731,2797,2196
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-02-24,730570200287,0.5630331753554503,0.5630331753554503,2.743846153846154,709.8333333333334,1.8435754189944136,0.2645705521472393,374,465,461,1649,959,2883,351
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-03-12,731952613144,0.5655391120507399,0.5655391120507399,3.995192307692307,747,1.3489662128088755,0.0511000709723208,262,367,411,1481,1337,2929,624
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-03-28,733335014327,0.6158882584024443,0.6158882584024443,3.911055694098088,881.8333333333334,1.6922523386903334,0.1293471629042099,321,442,440,1851,1427,2955,810
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-04-13,734717422113,0.5967617579028527,0.5967617579028527,3.662758620689655,1030.1666666666667,1.666307857911733,0.12218910864264428,385,542,523,2071,1620,2929,1040
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-04-29,736099828859,0.5538694992412747,0.5538694992412747,3.4062126642771804,1081.5,1.7405817835002386,0.05703225806451613,464,622,588,2048,1827,2947,940
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-05-15,737482231618,0.5167394468704513,0.5167394468704513,2.7416058394160583,1160,2.7171833141982393,0.0800725576574242,635,756,664,2084,1775,2924,1046
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-05-31,738864635287,0.6314076484947111,0.6314076484947111,4.376633986928105,954,1.4744442333269996,0.08937788644390111,279,492,453,2005,1676,2955,819
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-07-18,743011827108,NA,0.36027319294251564,1.7115795905896731,1379.6666666666667,2.186528497409326,0.1961961961961962,1025,1124,1124,2390,1606,2826,1009
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-08-03,744394226377,NA,0.09908776344762504,1.103696513791151,4193.5,1.004037399065023,0.11002859260828128,3822,4245,4296,5241,4202,2735,3355
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-08-19,745776626133,0.3793609988982739,0.3793609988982739,1.5080172076652327,999.3333333333334,4.558693733451015,0.310080223229857,851,861,845,1878,989,2841,572
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-09-04,747159024207,0.704145371947757,0.704145371947757,3.618507462686567,1151.8333333333333,2.334776878177368,0.32465239461487533,463,691,521,3001,1530,2893,705
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-09-20,748541421336,NA,0.4263096623981374,1.6388666132050254,1552.3333333333333,2.7725620835857057,0.33260822275397,1174,1335,1232,3063,1534,2702,976
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-10-06,749923817515,0.7516141283706799,0.7516141283706799,4.6686507936507935,829.3333333333334,2.1614242027086066,0.3154592127780947,264,417,327,2306,1200,2888,462
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-11-07,752688604733,NA,0.04473613715510313,0.5161794896861863,7591.5,-0.01117754674043996,0.07883817427385892,20000,5338,5349,5850,4995,2729,4017
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-11-23,754070997620,0.5289993626513703,0.5289993626513703,2.0859497645211933,1221.6666666666667,11.976911976911977,0.24397199896292457,865,944,739,2399,1458,2865,925
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-12-09,755453393615,0.6060606060606061,0.6060606060606061,3.1361457334611695,636.8333333333334,2.3116438356164384,0.21735431731178223,316,376,351,1431,920,2869,427
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1993-12-25,756835784267,NA,0.01641364629432525,0.5684171102966747,9393.5,-0.00830000113310595,0.19683377308707123,20000,8602,8779,9072,6088,2781,3820
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-01-10,758218170407,0.6669285153181461,0.6669285153181461,4.011764705882353,429.6666666666667,1.5618101545253862,0.2308584686774942,130,253,212,1061,663,2846,259
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-01-26,759600558010,0.7172897196261683,0.7172897196261683,3.9721059972106,529.6666666666666,2.0091623036649215,0.36174154701250577,186,289,242,1470,689,2893,302
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-02-11,760982948090,NA,0.05675301562191022,1.064516129032258,4587.666666666667,0.9930795847750864,0.06549695942578009,4336,4720,4770,5344,4687,2826,3669
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-02-27,762365333711,NA,0.04244694132334582,0.4850770637408569,7316.666666666667,-0.0106306950151867,0.1294685990338164,20000,5255,5369,5845,4505,2826,2926
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-03-15,763747719495,0.7001733102253033,0.7001733102253033,4.988505747126437,750,1.5911776289877904,0.24531894636623297,200,324,346,1962,1189,2902,479
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-03-31,765130104019,NA,0.3409844427441979,1.5821311060491017,1611.8333333333333,3.3192651439920557,0.18423423423423424,1250,1409,1292,2629,1811,2836,1280
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-04-16,766512485079,NA,0.11501223534418556,1.239194047320458,4290,1.2732626619552414,0.0447612401555179,3743,4059,4159,5240,4791,2869,3748
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-05-02,767894867932,0.7286742034943474,0.7286742034943474,4.4507389162561575,979.8333333333334,2.1398390342052314,0.270392749244713,322,500,396,2523,1449,2929,689
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-05-18,769277250392,0.6418166238217652,0.6418166238217652,2.7653061224489797,1206,4.072127582457412,0.30104119511090993,701,828,627,2874,1544,2924,662
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-06-03,770659632986,0.7546174142480211,0.7546174142480211,4.945670628183362,1019.3333333333334,2.189054726368159,0.25382983737921283,304,502,372,2660,1583,2933,695
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-06-19,772042012385,0.6398936170212766,0.6398936170212766,2.977849561605906,1287.5,2.572161642078255,0.29320469798657717,641,849,677,3083,1685,2841,790
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-07-05,773424387562,NA,0.06851742468989959,0.6095197202968778,8520.5,-0.02211313920793023,0.06765031353744005,20000,6298,6308,7236,6319,2802,4962
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-07-21,774806761065,NA,0.2021897810218978,1.2482572052856102,3492.6666666666665,1.9566753002119144,0.16684378320935175,2999,3333,3279,4941,3528,2761,2876
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-08-06,776189134111,0.6196078431372549,0.6196078431372549,2.846938775510204,1206.8333333333333,2.010178117048346,0.3216,562,817,679,2891,1484,2860,808
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-08-22,777571511325,NA,0.09499136442141624,0.532552474388494,7491.166666666667,-0.02289497668875101,0.09598762623965064,20000,4989,4978,6023,4968,2651,3989
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-09-07,778953887543,NA,0.04806151874399231,0.4977097320700257,7686.333333333333,-0.01391401140948935,0.16790145496741943,20000,5932,5942,6542,4661,2816,3041
73556_2,16.995078638235338,-95.999940566075,LT05,024048,1994-09-23,780336261684,0.6927038626609442,0.6927038626609442,3.4425253126861226,1103.6666666666667,2.544671011141475,0.3540856031128405,507,635,537,2958,1411,2906,574
