plot_id,lat,lon,landsat,row_path,date,sat_time,ndvinc,ndvi,ci1,ci2,evi,ndwi,b1,b2,b3,b4,b5,b6,b7
64174_1,18.751141288243545,-97.01635736059772,LT05,025047,1993-01-14,727028127281,NA,0.09202885799753652,1.142267492177618,5212.333333333333,1.6023284313725492,0.06248929977743537,4738,5123,5160,6206,5476,2826,4571
64174_1,18.751141288243545,-97.01635736059772,LT05,025047,1993-01-30,728410537973,NA,-0.00225413795324273,0.506368175952421,8723,9.1558801678403e-4,0.20111645216312607,20000,7865,7781,7746,5152,2708,3794
64174_1,18.751141288243545,-97.01635736059772,LT05,025047,1993-02-15,729792946878,0.7938553022794846,0.7938553022794846,6.145833333333333,694.8333333333334,2.0237493683678625,0.21885521885521889,144,320,208,1810,1160,2933,527
64174_1,18.751141288243545,-97.01635736059772,LT05,025047,1993-03-03,731175354681,0.6067240031274433,0.6067240031274433,2.976485956890921,894.5,1.8054909260120984,0.24319419237749543,390,638,503,2055,1251,2906,530
64174_1,18.751141288243545,-97.01635736059772,LT05,025047,1993-03-19,732557760231,0.6412913511359107,0.6412913511359107,3.686795491143317,868.1666666666666,1.636826042726348,0.2407351611931305,307,485,450,2059,1260,2929,648
64174_1,18.751141288243545,-97.01635736059772,LT05,025047,1993-04-04,733940164367,0.7140799423838675,0.7140799423838675,4.385442514474772,969.3333333333334,2.0651947510935225,0.2392606092163499,315,497,397,2380,1461,2951,766
64174_1,18.751141288243545,-97.01635736059772,LT05,025047,1993-04-20,735322573084,NA,0.2607626076260763,1.1875,1989.1666666666667,-2.8752260397830023,0.23345367027677497,2000,2005,1803,3075,1911,2750,1141
64174_1,18.751141288243545,-97.01635736059772,LT05,025047,1993-05-06,736704976663,NA,0.2693535514764565,1.2333742761888051,2010.8333333333333,-20.516717325227965,0.24622918707149852,1911,1957,1831,3181,1924,2634,1261
64174_1,18.751141288243545,-97.01635736059772,LT05,025047,1993-05-22,738087379894,0.71881461061337,0.71881461061337,4.078372268274303,987.8333333333334,2.430668841761827,0.2618264609157602,373,546,408,2494,1459,2920,647
64174_1,18.751141288243545,-97.01635736059772,LT05,025047,1993-06-07,739469782428,NA,0.3787981093855503,1.8242667928098393,1854.1666666666667,4.201198202695956,0.13697104677060137,1379,1469,1380,3063,2325,2902,1509
