plot_id,lat,lon,landsat,row_path,date,sat_time,ndvinc,ndvi,ci1,ci2,evi,ndwi,b1,b2,b3,b4,b5,b6,b7
67883_4,18.15344721395462,-96.75455235419392,LT05,024047,1993-01-07,726422951825,0.7068350260774088,0.7068350260774088,4.1121892055791385,1250.8333333333333,1.9921089277425343,0.25743174924165824,411,704,534,3109,1836,2938,911
67883_4,18.15344721395462,-96.75455235419392,LT05,024047,1993-01-23,727805362580,0.6886973180076629,0.6886973180076629,3.909138932910724,1366.5,1.963407973784817,0.29086582463847704,502,741,650,3526,1937,2897,843
67883_4,18.15344721395462,-96.75455235419392,LT05,024047,1993-02-08,729187773330,NA,0.19836567926455567,1.3861641713990709,2221.8333333333335,3.644894894894895,0.06771022934109938,1872,1977,1962,2933,2561,2831,2026
67883_4,18.15344721395462,-96.75455235419392,LT05,024047,1993-02-24,730570176494,NA,0.02944687624353362,0.6070827774232844,8947,-0.0112878294825903,0.08197406942701799,20000,7161,7317,7761,6585,2846,4858
67883_4,18.15344721395462,-96.75455235419392,LT05,024047,1993-03-12,731952589349,0.6580250509758229,0.6580250509758229,4.631055900621118,1344.1666666666667,1.558360927152318,0.10502814987381091,366,657,587,2846,2305,3007,1304
67883_4,18.15344721395462,-96.75455235419392,LT05,024047,1993-03-28,733334990531,0.5977260422306443,0.5977260422306443,3.649589173513774,1435.5,1.7196261682242993,0.1239763854503904,560,766,743,2951,2300,2994,1293
67883_4,18.15344721395462,-96.75455235419392,LT05,024047,1993-04-13,734717398316,0.6163943209215108,0.6163943209215108,3.557255447380621,1479.8333333333333,2.1964490263459338,0.12890551917680074,626,815,716,3017,2328,3015,1377
67883_4,18.15344721395462,-96.75455235419392,LT05,024047,1993-04-29,736099805204,NA,0.25823591923485656,1.333453172748517,2044.3333333333333,-2.973568281938326,0.1408749277317402,1927,1891,1745,2960,2229,2938,1514
67883_4,18.15344721395462,-96.75455235419392,LT05,024047,1993-05-15,737482207818,0.6932573599240266,0.6932573599240266,4.27115289460663,1562.1666666666667,2.499571991097415,0.16937202820134448,603,772,646,3566,2533,2977,1253
67883_4,18.15344721395462,-96.75455235419392,LT05,024047,1993-05-31,738864611486,0.759075907590759,0.759075907590759,5.557766367137355,1495,2.019821854221554,0.20451977401129945,375,672,511,3731,2464,3019,1217
