plot_id,lat,lon,landsat,row_path,date,sat_time,ndvinc,ndvi,ci1,ci2,evi,ndwi,b1,b2,b3,b4,b5,b6,b7
74189_1,16.828081826917522,-95.25730332069338,LT05,023048,1993-01-16,727200210971,NA,-0.3320900492873318,0.5188536953242836,12308,1.2483100495718793,0.11957128502846937,20000,9725,20000,10028,7886,2821,6209
74189_1,16.828081826917522,-95.25730332069338,LT05,023048,1993-02-01,728582621713,NA,0.02017045454545454,0.5740641552103791,8581,-0.00699997042266018,0.08514013749338974,20000,6708,6898,7182,6055,2802,4643
74189_1,16.828081826917522,-95.25730332069338,LT05,023048,1993-02-17,729965029336,NA,0.00847361880013557,0.7605686494575383,3745,-0.061667488899852,0.2203992343450916,4511,4466,4388,4463,2851,2846,1791
74189_1,16.828081826917522,-95.25730332069338,LT05,023048,1993-03-05,731347438586,0.7826552462526767,0.7801840822956145,5.279674796747967,1136.3333333333333,2.109809663250366,0.3445103250868943,308,516,406,3288,1603,2906,697
74189_1,16.828081826917522,-95.25730332069338,LT05,023048,1993-03-21,732729841861,NA,0,1,17507.166666666668,0,0,20000,20000,20000,20000,20000,2816,5043
74189_1,16.828081826917522,-95.25730332069338,LT05,023048,1993-04-06,734112246876,NA,0.06263498920086392,0.46526721427847073,7080.166666666667,-0.01375675978713678,0.12891113892365458,20000,4809,4774,5412,4176,2781,3310
74189_1,16.828081826917522,-95.25730332069338,LT05,023048,1993-05-08,736877059578,NA,0.04746079551355281,0.4090205387552895,6645.833333333333,-0.0097283719346049,0.1913536498936924,20000,4481,4586,5043,3423,2651,2342
74189_1,16.828081826917522,-95.25730332069338,LT05,023048,1993-05-24,738259462791,0.808437365475678,0.835462221260013,5.923018292682927,1325,2.416405760801503,0.4118234804329725,337,595,380,4239,1766,2947,633
74189_1,16.828081826917522,-95.25730332069338,LT05,023048,1993-06-09,739641864251,NA,0.7330332409972299,3.7128867998433215,1789.1666666666667,3.0399195864445723,0.38221485777409553,820,962,771,5005,2237,2942,940
74189_1,16.828081826917522,-95.25730332069338,LT05,023048,1993-07-27,743789055098,NA,0.04708987359355466,0.5639855373125482,8512.333333333334,-0.01673231261290609,0.13489912676904547,20000,6882,6860,7538,5746,2761,4048
