plot_id,lat,lon,landsat,row_path,date,sat_time,ndvinc,ndvi,ci1,ci2,evi,ndwi,b1,b2,b3,b4,b5,b6,b7
65268_2,18.569025830693995,-96.97558282985152,LT05,024047,1993-01-07,726422951825,0.6313099041533546,0.6313099041533546,4.089389067524116,1181.5,1.5420633681910412,0.14587073608617596,375,603,577,2553,1903,2906,1078
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-01-14,727028127281,0.4348211646467632,0.4348211646467632,2.042957042957043,1354,3.0354931902600084,0.13384723195515066,927,1120,956,2427,1854,2874,840
65268_2,18.569025830693995,-96.97558282985152,LT05,024047,1993-01-23,727805362580,NA,0.04827831025914093,0.4526516196677888,8668.166666666666,-0.02196335134902349,0.4026282457251425,20000,8199,8043,8859,3773,2237,3135
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-01-30,728410537973,NA,0.01689448625403164,0.5352803240247282,8198.666666666666,-0.00523949243607819,0.09447061740639724,20000,6436,6401,6621,5478,2735,4256
65268_2,18.569025830693995,-96.97558282985152,LT05,024047,1993-02-08,729187773330,0.502627939142462,0.502627939142462,2.479221265443654,1390.8333333333333,1.889952153110048,0.1634182908545727,761,1011,899,2716,1953,2869,1005
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-02-15,729792946878,0.6361948955916473,0.6361948955916473,5.039714867617108,872.8333333333334,1.3649940262843487,0.05065554231227652,214,376,392,1763,1593,2968,899
65268_2,18.569025830693995,-96.97558282985152,LT05,024047,1993-02-24,730570176494,0.4331325301204819,0.4331325301204819,2.6420433664094083,1463.3333333333333,1.9553984226271417,-0.00543478260869565,825,955,941,2379,2405,2960,1275
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-03-03,731175354681,0.5007751937984496,0.5007751937984496,2.896969696969697,1055.5,1.4675147660154475,0.0764525993883792,480,691,644,1936,1661,2929,921
65268_2,18.569025830693995,-96.97558282985152,LT05,024047,1993-03-12,731952589349,0.583533173461231,0.583533173461231,4.368228404099561,1069.6666666666667,1.308009317326644,-0.00301962757926522,309,536,521,1981,1993,2933,1078
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-03-19,732557760231,0.4828150572831424,0.4828150572831424,2.894828588030215,984.6666666666666,1.345496009122007,0.06682366794230203,455,634,632,1812,1585,3015,790
65268_2,18.569025830693995,-96.97558282985152,LT05,024047,1993-03-28,733334990531,0.5364485981308411,0.5364485981308411,3.1857954545454548,1110.3333333333333,1.665892732760622,0.07282693813625685,483,657,620,2055,1776,2986,1071
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-04-04,733940164367,0.42188488298545224,0.42188488298545224,2.4166026133743275,1353.6666666666667,1.522483451266834,0.05342080599812558,739,949,914,2248,2020,2897,1252
65268_2,18.569025830693995,-96.97558282985152,LT05,024047,1993-04-13,734717398316,0.4781704781704782,0.4781704781704782,2.802743614001892,1217.3333333333333,1.7297568312860363,0.0588235294117647,621,740,753,2133,1896,2968,1161
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-04-20,735322573084,NA,0.2905525846702317,1.3669432035737077,1159,-14.658273381294965,0.1880538234328848,1056,1083,995,1810,1237,2920,773
65268_2,18.569025830693995,-96.97558282985152,LT05,024047,1993-04-29,736099805204,0.46085724406659584,0.46085724406659584,2.640715883668904,1221.1666666666667,2.08627325208467,0.03566047212456052,676,798,761,2062,1920,2977,1110
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-05-06,736704976663,NA,0.23878568192115995,1.2341906787855348,1825.8333333333333,-65.875,0.19964896884598507,1714,1777,1680,2734,1824,2691,1226
65268_2,18.569025830693995,-96.97558282985152,LT05,024047,1993-05-15,737482207818,0.523598820058997,0.523598820058997,3.1070438158624514,1100.1666666666667,1.6355678415111723,0.07772561293688054,503,654,646,2066,1768,2947,964
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-05-22,738087379894,0.540899357601713,0.540899357601713,3.1540055248618786,891.3333333333334,1.3502245028864657,0.13038014451775054,357,555,536,1799,1384,2942,717
65268_2,18.569025830693995,-96.97558282985152,LT05,024047,1993-05-31,738864611486,0.6088353413654618,0.6088353413654618,4.297991967871486,970.5,1.408398364920104,0.089475115583356,298,460,487,2003,1674,2977,901
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-06-07,739469782428,NA,0.09489720998531571,0.5491020380708953,7475.333333333333,-0.02258667691877533,0.07033913511573658,20000,4803,4931,5965,5181,2850,3972
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-07-09,742234574119,NA,0.05605439804724958,0.5101551618023388,7570.333333333333,-0.0144224730391717,0.11107034761074934,20000,5457,5414,6057,4846,2756,3648
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-07-25,743616973336,0.6002456248081056,0.6002456248081056,3.207547169811321,1166.1666666666667,1.6649633793220917,0.21832632071061245,477,727,651,2606,1672,2874,864
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-08-10,744999373691,0.4620192307692308,0.4620192307692308,2.297615360792815,1614.8333333333333,1.810815903523648,0.16290630975143405,947,1163,1119,3041,2189,2865,1230
65268_2,18.569025830693995,-96.97558282985152,LT05,025047,1993-08-26,746381772096,0.7316372589249077,0.7316372589249077,5.308840413318025,815.8333333333334,1.6833459214501512,0.25334125334125335,190,354,327,2110,1257,2897,657
65268_2,18.569025830693995,-96.97558282985152,LT05,024047,1993-09-04,747159000397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
