plot_id,lat,lon,landsat,row_path,date,sat_time,ndvinc,ndvi,ci1,ci2,evi,ndwi,b1,b2,b3,b4,b5,b6,b7
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-01-07,726422975615,0.7479159719906635,0.7479159719906635,5.007469654528478,945.1666666666666,1.999108734402852,0.31312625250501,278,415,378,2621,1371,2850,608
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-01-23,727805386371,NA,0.11015235270324927,1.0443465792707909,3201,3.6768676867686767,0.15048204554981137,3115,3349,3300,4117,3040,2781,2285
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-02-08,729187797122,0.6949509116409537,0.6949509116409537,3.8091787439613527,887.3333333333334,1.8962877918101797,0.35254616675993283,322,485,435,2417,1157,2821,508
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-02-24,730570200287,0.7186544342507645,0.7186544342507645,4.042242703533026,954,2.5220605771523967,0.2982546201232033,389,499,414,2529,1367,2874,526
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-03-12,731952613144,0.7401340282948623,0.7401340282948623,5.040836653386454,877.1666666666666,1.8882978723404256,0.2635847526358475,240,415,349,2337,1362,2874,560
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-03-28,733335014327,0.7250786988457503,0.7250786988457503,4.527038626609442,946.3333333333334,2.048418972332016,0.2744186046511628,306,466,393,2466,1404,2915,643
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-04-13,734717422113,0.7256461232604374,0.7256461232604374,4.285714285714286,1006,2.235606369946917,0.27740986019131714,352,529,414,2604,1473,2897,664
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-04-29,736099828859,0.7226137091607944,0.7226137091607944,4.246332046332046,1001.6666666666666,2.111964051675716,0.3136297020029311,349,513,433,2689,1405,2902,621
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-05-15,737482231618,0.7497659906396256,0.7497659906396256,4.526994359387591,1000.5,2.1719088937093276,0.3317501781049632,326,514,401,2804,1407,2897,551
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-05-31,738864635287,0.7823800131492439,0.7823800131492439,5.3232421875,947.6666666666666,2.0269119400442857,0.3285959323695173,235,458,331,2711,1370,2906,581
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-07-18,743011827108,0.7624079410822927,0.7624079410822927,4.6391925988225395,988.6666666666666,2.458187074127607,0.3313981615868408,341,477,371,2752,1382,2855,609
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-08-03,744394226377,NA,0,0.5349333333333334,15001.333333333334,0,0.5356265356265356,20000,20000,20000,20000,6048,2802,3960
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-08-19,745776626133,NA,0.0677981567661283,0.4371579294427959,7071.666666666667,-0.01636563876651982,0.22469911041339613,20000,5222,5108,5851,3704,2573,2545
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-09-04,747159024207,0.7594112652136994,0.7594112652136994,4.762124711316397,1104.8333333333333,2.086963285625389,0.3376371852808263,326,548,425,3108,1539,2850,683
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-09-20,748541421336,NA,0.05263919016630513,0.36567750513719327,7474.666666666667,-0.01759916452317867,0.5023735810113519,20000,6541,6551,7279,2411,2276,2066
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-10-06,749923817515,NA,0.096169058650695,1.2100884035361414,4125.333333333333,1.7191919191919192,0.03125664469487561,3681,3858,3999,4850,4556,2811,3808
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-11-07,752688604733,NA,0.02255541069100391,0.5568716301479867,8708.666666666666,-0.0089015580299257,0.1508437270726339,20000,7371,7497,7843,5787,2756,3754
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-11-23,754070997620,0.35026628430970913,0.35026628430970913,1.4983579638752051,983.6666666666666,3.228851963746224,0.2442431106077765,766,877,793,1648,1001,2826,817
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-12-09,755453393615,0.782668500687758,0.782668500687758,6.161971830985915,883.6666666666666,1.8988820290338728,0.3221117061973986,199,337,316,2592,1329,2865,529
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1993-12-25,756835784267,NA,0.01553905390539054,0.5114544018256825,8281,-0.0056692755368252,0.18796750583125552,20000,7020,7159,7385,5048,2735,3074
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-01-10,758218170407,0.7382198952879581,0.7382198952879581,4.885819521178637,922,1.8353002429711909,0.2775782452539764,248,463,375,2490,1408,2855,548
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-01-26,759600558010,0.7739984882842026,0.7739984882842026,4.857873210633946,837.3333333333334,2.3437857633325705,0.3226260918568611,261,418,299,2347,1202,2860,497
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-02-11,760982948090,NA,0.02159170629043573,0.5314106312905906,8025.833333333333,-0.00654598733339635,0.10051221765051642,20000,6213,6276,6553,5356,2786,3757
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-02-27,762365333711,NA,0.0368616841393304,0.6261356309712209,9047.333333333334,-0.01367779629369365,0.05614881157423355,20000,7002,7120,7665,6850,2797,5647
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-03-15,763747719495,0.7517043415859347,0.7517043415859347,5.124341412012645,848.1666666666666,1.890452986825483,0.3368017524644031,233,370,346,2441,1211,2865,488
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-03-31,765130104019,NA,0.11459883642267622,1.1325066612010657,3374.5,-9.713302752293576,0.08609096901779828,3196,3290,3272,4119,3466,2781,2904
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-04-16,766512485079,NA,0.00692069047808448,0.3765843179377014,7253,-0.00204767553522001,0.3610752688172043,20000,6343,6242,6329,2971,2771,1633
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-05-02,767894867932,0.8065296251511487,0.8065296251511487,5.871165644171779,987.8333333333334,2.198417930125247,0.3690721649484536,250,408,320,2988,1377,2911,584
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-05-18,769277250392,0.5217179111761835,0.5217179111761835,1.45750142612664,679.1666666666666,-10.480392156862743,0.5157997083130773,634,629,490,1559,498,2893,265
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-06-03,770659632986,0.7994644451056233,0.7994644451056233,5.699612403100775,1007.5,2.1795911745619727,0.35818549292611723,262,433,337,3024,1429,2883,560
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-06-19,772042012385,NA,0.22597402597402597,1.1089324618736385,1506.6666666666667,-5.350553505535055,0.26711409395973157,1561,1539,1490,2360,1365,2807,725
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-07-05,773424387562,0.5194570135746607,0.5194570135746607,2.181705809641533,1588.5,2.5556544968833483,0.2893069687080054,998,1176,1062,3358,1851,2781,1086
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-07-21,774806761065,NA,-0.4181882644921114,0.35174946274697994,10549.5,1.3530100027530512,0.3094478135971912,20000,7929,20000,8205,4327,2585,2836
69842_4,17.79200107623629,-96.7681977633597,LT05,024048,1994-08-06,776189134111,NA,0.03472498343273691,0.5433230217699269,8635.333333333334,-0.0133003025565009,0.17398496240601505,20000,7306,7283,7807,5493,2640,3923
