plot_id,lat,lon,landsat,row_path,date,sat_time,ndvinc,ndvi,ci1,ci2,evi,ndwi,b1,b2,b3,b4,b5,b6,b7
72712_3,17.171417928508003,-95.8978021182706,LT05,024048,1993-01-07,726422975615,0.8044908142435927,0.8044908142435927,5.858525688756515,1340.3333333333333,2.221039448966813,0.3432382238730373,343,569,431,3978,1945,2924,776
72712_3,17.171417928508003,-95.8978021182706,LT05,024048,1993-03-12,731952613144,0.795708673315201,0.795708673315201,6.1312625250501,1034.1666666666667,2.0053313023610055,0.3073707370737074,229,431,338,2971,1574,2981,662
72712_3,17.171417928508003,-95.8978021182706,LT05,024048,1993-03-28,733335014327,0.76041970271058,0.76041970271058,4.885895404120443,1081.8333333333333,2.1709103012148443,0.31504463313738296,331,520,411,3020,1573,2947,636
72712_3,17.171417928508003,-95.8978021182706,LT05,024048,1993-04-13,734717422113,0.7588357588357588,0.7588357588357588,4.760617760617761,1085.5,2.2606618297646435,0.2978303747534517,343,546,406,2961,1602,2942,655
72712_3,17.171417928508003,-95.8978021182706,LT05,024048,1993-04-29,736099828859,0.6693348054098813,0.6693348054098813,3.0236829386176898,1220.6666666666667,4.155243317340645,0.30344827586206896,688,782,599,3024,1616,2933,615
72712_3,17.171417928508003,-95.8978021182706,LT05,024048,1993-05-31,738864635287,0.8182370820668693,0.8182370820668693,6.068930041152264,1004.5,2.209455022980958,0.34578177727784026,232,441,299,2991,1454,2951,610
72712_3,17.171417928508003,-95.8978021182706,LT05,024048,1993-09-04,747159024207,0.8355477563299073,0.8355477563299073,6.8583984375,1166.5,2.201453104359313,0.37064769749157617,246,450,328,3661,1681,2915,633
72712_3,17.171417928508003,-95.8978021182706,LT05,024048,1993-10-06,749923817515,0.8356234096692112,0.8356234096692112,7.092412451361867,1193.1666666666667,2.2783405022894407,0.32391264452193064,259,446,323,3607,1842,2911,682
72712_3,17.171417928508003,-95.8978021182706,LT05,024048,1994-01-10,758218170407,0.8039304269256833,0.8039304269256833,5.730521801286633,1353.5,2.218551302830071,0.3298917568692756,345,620,434,3993,2012,2883,717
72712_3,17.171417928508003,-95.8978021182706,LT05,024048,1994-01-26,759600558010,0.8001410768869034,0.8001410768869034,5.887171561051004,1295.6666666666667,2.307744473077445,0.33775991612790496,359,510,425,3828,1895,2924,757
