plot_id,lat,lon,landsat,row_path,date,sat_time,ndvinc,ndvi,ci1,ci2,evi,ndwi,b1,b2,b3,b4,b5,b6,b7
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-01-07,726422975615,0.6624888093106536,0.6624888093106536,3.656305506216696,770.3333333333334,1.880559085133418,0.24338801473049884,287,462,377,1857,1130,2855,509
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-01-23,727805386371,NA,0.1959445894398715,1.4378838392700477,4523.666666666667,1.1673244827173783,0.06632059428980579,3441,3952,4005,5957,5216,2816,4571
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-02-08,729187797122,0.6082387557797394,0.6082387557797394,3.0126493323963457,838.5,2.0181311018131103,0.23419354838709677,389,568,466,1913,1187,2831,508
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-02-24,730570200287,0.6101225780941083,0.6101225780941083,3.453343130051433,882.3333333333334,1.7087486157253595,0.20902612826603328,365,503,493,2036,1332,2893,565
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-03-12,731952613144,0.6623481781376518,0.6623481781376518,4.288181818181818,840.5,1.6159620703279338,0.21299852289512555,270,413,417,2053,1332,2897,558
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-03-28,733335014327,0.6452674897119342,0.6452674897119342,3.738325281803543,867.3333333333334,1.9396338446313708,0.20385426076482988,342,469,431,1999,1322,2920,641
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-04-13,734717422113,0.6363636363636364,0.6363636363636364,3.653666146645866,881,1.9420144963759056,0.19604908709967075,355,483,444,1998,1343,2911,663
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-04-29,736099828859,0.6140631242508989,0.6140631242508989,3.574045801526718,886.3333333333334,1.5868263473053892,0.20561026559236048,333,494,483,2020,1331,2911,657
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-05-15,737482231618,0.6493665713118104,0.6493665713118104,3.885382059800664,862.3333333333334,1.740035041611914,0.2054958183990442,308,467,429,2018,1330,2915,622
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-05-31,738864635287,0.6441662941439428,0.6441662941439428,4.127358490566038,791.1666666666666,1.4611640640843642,0.1837785645317026,235,427,398,1839,1268,2924,580
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-07-18,743011827108,NA,0.3853658536585366,1.981778023191607,1713.8333333333333,1.6677221870382095,0.13395887402675186,1071,1291,1260,2840,2169,2797,1652
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-08-03,744394226377,NA,0,1,17476.5,0,0,20000,20000,20000,20000,20000,2781,4859
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-08-19,745776626133,NA,0.07738803919772873,0.45299797591001095,7099.5,-0.01854778524079195,0.20446401146718543,20000,5100,5037,5882,3885,2685,2693
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-09-04,747159024207,NA,0.17279716144293317,1.305252822778596,3794.5,1.5770725388601037,0.08656585579662503,3150,3538,3497,4958,4168,2841,3456
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-09-20,748541421336,NA,0.05830174985888235,0.35475204652485853,7068.333333333333,-0.01667389278894495,0.47576745755088273,20000,5800,5839,6562,2331,2295,1878
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-10-06,749923817515,0.5920922570016475,0.5920922570016475,3.046688382193268,1111,2.0136709995517705,0.20378674638764324,520,703,619,2416,1598,2855,810
70072_2,17.745692923339927,-96.72250046485654,LT05,024048,1993-11-07,752688604733,NA,0.04684626203613545,0.9216184971098266,3977.6666666666665,-9.135021097046414,0.15217909025958562,4185,4385,4405,4838,3560,2781,2493
