plot_id,lat,lon,landsat,row_path,date,sat_time,ndvinc,ndvi,ci1,ci2,evi,ndwi,b1,b2,b3,b4,b5,b6,b7
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-01-07,726422975615,0.7169675090252707,0.7169675090252707,3.8213689482470783,426,1.6933833560709413,0.36745255894192064,120,283,196,1189,550,2831,218
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-01-23,727805386371,NA,0.04738287131343548,0.910818438381938,4852.166666666667,-2.1468699839486356,0.15736934820904286,5174,5393,5378,5913,4305,2697,2950
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-02-08,729187797122,0.49303621169916434,0.49303621169916434,1.5829059829059828,230.33333333333337,1.5902964959568733,0.466484268125855,143,260,182,536,195,2781,66
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-02-24,730570200287,0.5894673847995212,0.5894673847995212,2.9114954221770093,565,1.9133644133644137,0.26778042959427206,280,360,343,1328,767,2879,312
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-03-12,731952613144,0.7188703465982028,0.7188703465982028,4.695578231292517,500.6666666666667,1.610120759056929,0.30634146341463414,122,247,219,1339,711,2874,366
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-03-28,733335014327,0.6703786191536748,0.6703786191536748,3.965936739659367,591.5,1.605761536409709,0.2605042016806723,187,339,296,1500,880,2902,347
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-04-13,734717422113,0.6299694189602446,0.6299694189602446,3.6178535606820463,679.6666666666666,1.6497597437266418,0.228582404917403,254,380,363,1599,1004,2879,478
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-04-29,736099828859,0.6946107784431138,0.6946107784431138,4.38525564803805,668,1.6318874560375147,0.2610471593018938,187,348,306,1698,995,2906,474
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-05-15,737482231618,0.7206379893668439,0.7206379893668439,4.749379652605459,681,1.7899159663865547,0.26961483594864477,191,326,289,1780,1024,2902,476
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-05-31,738864635287,0.7413249211356467,0.7413249211356467,5.62962962962963,617.5,1.633456904541242,0.248868778280543,130,272,246,1656,996,2888,405
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-07-18,743011827108,NA,0.4034090909090909,1.766854766854767,1440.1666666666667,1.8974732750242953,0.2540964689591507,1012,1200,1155,2717,1616,2702,941
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-08-03,744394226377,NA,0,1,17429.166666666668,0,0,20000,20000,20000,20000,20000,2740,4575
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-08-19,745776626133,NA,0.19616685456595265,1.1794673273459275,2257.5,4.784601283226398,0.17888888888888888,2063,2256,2139,3183,2217,2634,1687
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-09-04,747159024207,0.36710301650540694,0.36710301650540694,1.616677440206852,648.3333333333334,1.3431903373594336,0.2976769313884387,445,546,556,1201,650,2826,492
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-09-20,748541421336,NA,0.10995630093303412,0.7784978693181818,3268.1666666666665,-9.145383104125738,0.3956043956043956,3675,3821,3768,4699,2035,2389,1611
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-10-06,749923817515,NA,0.2001333111148142,1.394470179502027,2703.8333333333335,1.4867541470661054,0.08840864440078586,2131,2377,2400,3601,3016,2792,2698
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-11-07,752688604733,NA,0.03223453908984831,0.495218847093602,7918.166666666667,-0.01071650244394445,0.20490337958627736,20000,6516,6635,7077,4670,2771,2611
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-11-23,754070997620,0.6462140992167101,0.6462140992167101,2.86144578313253,480.5,2.2137745974955276,0.3872387238723872,236,323,271,1261,557,2821,235
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-12-09,755453393615,0.736,0.736,4.571734475374733,388.5,1.4411027568922306,0.34782608695652173,64,238,165,1085,525,2855,254
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1993-12-25,756835784267,NA,0.01649021495027269,0.5557227205631884,8818,-0.00668616146689699,0.15222925303658447,20000,7564,7664,7921,5828,2713,3931
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-01-10,758218170407,0.7785123966942149,0.7785123966942149,4.8428571428571425,373,1.838407494145199,0.3839228295819936,80,206,134,1076,479,2831,263
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-01-26,759600558010,0.6326806212018906,0.6326806212018906,3.17157490396927,496,1.6022571819425444,0.31199131850244166,184,325,272,1209,634,2836,352
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-02-11,760982948090,0.4203629032258064,0.4203629032258064,1.4064548663640948,735.5,-4.483870967741935,0.3425440686040972,710,698,575,1409,690,2816,331
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-02-27,762365333711,NA,0.05464716006884682,1.038780091338339,4234.5,-6.033254156769596,0.07018884401266237,4197,4328,4394,4902,4259,2781,3327
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-03-15,763747719495,0.7368101879927229,0.7368101879927229,5.4315424610052,544.5,1.628686327077748,0.2544897065265002,116,244,217,1432,851,2879,407
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-03-31,765130104019,NA,0.11253235876351454,1.1372801875732708,2937,2.4293228139381986,0.09420398382507114,2717,2899,2914,3653,3024,2781,2415
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-04-16,766512485079,NA,-0.4094929349166637,1.011837784702905,13558.166666666666,1.3437789084181315,-0.4094929349166637,20000,7813,20000,8379,20000,2735,5157
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-05-02,767894867932,0.747483989021043,0.747483989021043,5.460545193687231,654.5,1.6625966625966626,0.3365990202939118,148,273,276,1910,948,2915,372
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-05-18,769277250392,0.6835844567803331,0.6835844567803331,3.37540192926045,808.6666666666666,2.5723664577737986,0.3432458082885163,379,466,399,2123,1038,2888,447
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-06-03,770659632986,0.7446633825944171,0.7446633825944171,4.786276715410573,754.5,1.7615070887550983,0.3322884012539185,189,389,311,2125,1065,2874,448
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-06-19,772042012385,NA,0.11548860563924294,1.1848157948300428,3500.1666666666665,1.231804449327108,0.08476273945160887,3083,3308,3435,4332,3655,2802,3188
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-07-05,773424387562,0.01238095238095238,0.01238095238095238,0.3511797011628264,7131,-0.0036692414078597,0.43132854578096946,20000,6371,6222,6378,2534,2740,1281
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-07-21,774806761065,NA,-0.40060926503028815,0.3767057746713263,10716.666666666666,1.334071828358209,0.2837858107094645,20000,8072,20000,8559,4775,2640,2894
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-08-06,776189134111,NA,0.09124537607891492,0.4893434792634318,7334.333333333333,-0.02295081967213114,0.17719714964370548,20000,5198,5159,6195,4330,2560,3124
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-08-22,777571511325,NA,0.16354519982303495,1.2834027364663891,3074.6666666666665,3.6991327551701136,0.07113765951669834,2695,2874,2836,3945,3421,2807,2677
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-09-07,778953887543,NA,0.01954015052130083,0.5114982781766182,8339.166666666666,-0.00707386818109102,0.1855479727017262,20000,7166,7100,7383,5072,2724,3314
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-09-23,780336261684,0.6644974692697035,0.6644974692697035,3.2998544395924307,439.6666666666667,1.6363960113960112,0.3469865418373318,152,303,232,1151,558,2836,242
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-10-09,781718633613,NA,0.01149141233164463,0.4536145414180658,8504.666666666666,-0.00495666911835246,0.3347464536116093,20000,8035,8000,8186,4080,2465,2727
71424_1,17.462418181645678,-96.40367040421684,LT05,024048,1994-10-25,783101001703,0.7842529448233106,0.7842529448233106,5.05827067669173,482.8333333333333,2.025296189561319,0.3937046004842615,123,235,174,1439,626,2855,300
